año,pais,tipo_evento,nombre_evento,venue,ciudad,artista_principal,asistentes_estimados,conciertos_o_dias,asistentes_totales_edicion,tipo_acceso,fuente_referencia,notas
2022,Brasil,Festival,Rock in Rio IX,Cidade do Rock,Río de Janeiro,Iron Maiden / Guns N'Roses / Justin Bieber / Coldplay / Dua Lipa,700000,7,700000,Pago,Wikipedia / Rock in Rio official,Novena edición; retorno postpandemia
2022,Argentina,Festival,Lollapalooza Argentina 2022,Hipódromo de San Isidro,Buenos Aires,Duki / Miranda! / Machine Gun Kelly,300000,3,300000,Pago,Wikipedia Lollapalooza,100.000/día; retorno postpandemia
2022,Chile,Festival,Lollapalooza Chile 2022,Parque Bicentenario Cerrillos,Santiago,Miley Cyrus / Billie Eilish / A$AP Rocky,225000,3,225000,Pago,Wikipedia Lollapalooza Chile,Récord histórico de asistencia: 225.000 en 3 días; nuevo venue
2022,Brasil,Festival,Lollapalooza Brasil 2022,Autódromo de Interlagos,São Paulo,Foo Fighters / A$AP Rocky / Green Day,245000,2,245000,Pago,Prensa brasileña,Regreso con shows simbólicos (Foo Fighters tras muerte de Taylor Hawkins)
2022,Estados Unidos,Festival,Lollapalooza Chicago 2022,Grant Park,Chicago,J-Hope / Metallica / Dua Lipa / Green Day,400000,4,400000,Pago,Wikipedia / Music Business Worldwide,400.000 asistentes; J-Hope primer coreano en headlinear el festival
2022,México,Festival,Vive Latino 2022 / Pa'l Norte 2022,Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,Artistas varios,130000,4,520000,Pago,Prensa mexicana,Retorno post-pandemia de ambos festivales
2022,México,Concierto,Grupo Firme en el Zócalo,Zócalo CDMX,Ciudad de México,Grupo Firme,280000,1,280000,Gratuito,El Imparcial,280.000 en el Zócalo; récord para el regional mexicano
2022,Colombia,Festival,Festival Estéreo Picnic 2022,Parque El Country / Briceño,Bogotá,Arcade Fire / Chemical Brothers / Massive Attack,95000,3,285000,Pago,Prensa colombiana,Regreso post-pandemia del FEP
2022,Colombia,Festival,Lollapalooza Colombia (debut),Parque Simón Bolívar,Bogotá,Billie Eilish / Tame Impala / Arcade Fire,70000,2,140000,Pago,Wikipedia Lollapalooza,Debut de Lollapalooza en Colombia
2022,Perú,Concierto,Retorno masivo Lima,Estadio Nacional / San Marcos,Lima,Artistas varios,55000,18,990000,Pago,Prensa peruana,Retorno con fuerza del mercado peruano
2023,Argentina,Concierto,Eras Tour,Estadio Monumental,Buenos Aires,Taylor Swift,80000,4,320000,Pago,Prensa argentina / Billboard,4 noches sold out de Taylor Swift; históricas en Argentina
2023,Argentina,Festival,Lollapalooza Argentina 2023,Hipódromo de San Isidro,Buenos Aires,Drake / Billie Eilish / Sam Smith,300000,3,300000,Pago,Wikipedia Lollapalooza,100.000/día
2023,México,Concierto,Eras Tour,Foro Sol,Ciudad de México,Taylor Swift,65000,4,260000,Pago,Prensa mexicana,4 fechas sold out de Taylor Swift en CDMX
2023,México,Concierto,Los Fabulosos Cadillacs en el Zócalo,Zócalo CDMX,Ciudad de México,Los Fabulosos Cadillacs,300000,1,300000,Gratuito,El Imparcial,Récord actual del Zócalo: 300.000 asistentes
2023,México,Festival,Vive Latino 2023 / Pa'l Norte 2023,Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,Artistas varios,140000,4,560000,Pago,Prensa mexicana,Récord histórico de ambos festivales
2023,Brasil,Concierto,Eras Tour,Estadio Nilton Santos,Río de Janeiro,Taylor Swift,65000,2,130000,Pago,Prensa brasileña,Shows históricos de Swift en Brasil; calor extremo generó controversy
2023,Brasil,Festival,Lollapalooza Brasil 2023,Autódromo de Interlagos,São Paulo,Drake / Billie Eilish / Rosalía,280000,3,280000,Pago,Prensa brasileña,Primera edición de 3 días en Brasil
2023,Chile,Festival,Lollapalooza Chile 2023,Parque Bicentenario Cerrillos,Santiago,Billie Eilish / Drake / Sam Smith,225000,3,225000,Pago,Wikipedia Lollapalooza Chile,Undécima edición
2023,Colombia,Festival,Festival Estéreo Picnic 2023,Briceño / Parque El Country,Bogotá,Massive Attack / Cigarettes After Sex / The Blaze,100000,3,300000,Pago,Prensa colombiana,FEP con récord de asistencia
2023,Colombia,Festival,Lollapalooza Colombia 2023,Parque Simón Bolívar,Bogotá,Billie Eilish / Tame Impala / Blink-182,75000,2,150000,Pago,Prensa colombiana,Segunda edición de Lolla Colombia; crecimiento notorio
2023,Perú,Concierto,Eras Tour Lima / Shows masivos,Estadio Nacional,Lima,Taylor Swift / otros artistas,55000,20,1100000,Pago,Prensa peruana,Lima: mercado maduro y creciente
2023,Perú,Festival,Estación VIVA Lima (debut),Explanada SJL,Lima,Artistas nacionales e internacionales,45000,3,135000,Pago,Prensa peruana,Debut de festival masivo propio en Lima
2023,Estados Unidos,Festival,Lollapalooza Chicago 2023,Grant Park,Chicago,Kendrick Lamar / Billie Eilish / Red Hot Chili Peppers,400000,4,400000,Pago,Wikipedia / Music Business Worldwide,14 arrestos; cleanup costó +400.000 dólares
2024,Brasil,Concierto,Celebration Tour (finale) - Copacabana,Playa Copacabana,Río de Janeiro,Madonna,1600000,1,1600000,Gratuito,Guinness World Records 2024,Récord femenino: primera mujer solista en superar 1M; 1.6M en Copacabana
2024,Brasil,Festival,Rock in Rio X,Cidade do Rock,Río de Janeiro,Foo Fighters / Katy Perry / Ed Sheeran,700000,7,700000,Pago,Wikipedia / Rock in Rio official,Décima edición en Río; 40 años del festival
2024,Argentina,Concierto,Music of the Spheres Tour,Estadio Monumental,Buenos Aires,Coldplay,85000,11,935000,Pago,Prensa argentina / Infobae,11 noches sold out; récord de Coldplay en Argentina y en Latinoamérica
2024,Argentina,Festival,Lollapalooza Argentina 2024,Hipódromo de San Isidro,Buenos Aires,Blink-182 / Sam Smith / Gorillaz,300000,3,300000,Pago,Wikipedia Lollapalooza,100.000/día
2024,Chile,Festival,Lollapalooza Chile 2024,Parque Bicentenario Cerrillos,Santiago,Blink-182 / SZA / Gorillaz,225000,3,225000,Pago,Wikipedia Lollapalooza Chile,Decimosegunda edición
2024,Brasil,Festival,Lollapalooza Brasil 2024,Autódromo de Interlagos,São Paulo,SZA / Blink-182 / Gorillaz,285000,3,285000,Pago,Prensa brasileña,Edición de 3 días; crecimiento sostenido
2024,Colombia,Festival,Festival Estéreo Picnic 2024,Parque El Country,Bogotá,Interpol / The Chemical Brothers / others,100000,3,300000,Pago,Prensa colombiana,Récord del FEP consolidado
2024,Colombia,Festival,Lollapalooza Colombia 2024,Parque Simón Bolívar,Bogotá,SZA / The Killers / Blink-182,80000,2,160000,Pago,Prensa colombiana,Tercera edición; crecimiento del 7%
2024,México,Festival,Vive Latino 2024 / Pa'l Norte 2024,Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,Artistas varios,145000,4,580000,Pago,Prensa mexicana,Récord histórico de ambos festivales; +580.000 entre los dos
2024,México,Concierto,Music of the Spheres Tour,Estadio Azteca / Foro Sol,Ciudad de México,Coldplay,70000,6,420000,Pago,Prensa mexicana,6 fechas de Coldplay en México
2024,México,Concierto,Karol G - Mañana Será Bonito Tour LATAM,Foro Sol / varios,Ciudad de México y otras ciudades,Karol G,60000,8,480000,Pago,Gitnux / Billboard,Karol G convocó 1.1M en total por toda Latinoamérica y EEUU
2024,Perú,Concierto,Conciertos masivos Lima,Estadio Nacional / San Marcos / Arena 1,Lima,Artistas varios,55000,22,1210000,Pago,Prensa peruana,Lima: mercado de conciertos en máximo histórico
2024,Estados Unidos,Festival,Lollapalooza Chicago 2024,Grant Park,Chicago,Sabrina Carpenter / TWICE / Blink-182,460000,4,460000,Pago,Music Business Worldwide 2024,Récord histórico: 460.000 asistentes; TWICE primer girl group K-pop en headlinear
2024,Argentina,Concierto,Maria Becerra - Estadio Monumental,Estadio Monumental,Buenos Aires,María Becerra,130000,2,130000,Pago,Prensa argentina / ¡HOLA!,Primera mujer argentina en llenar el Monumental; 2 shows sold out
